Peak Date,Track,With,Streams,Global,US,GB,CA,AU,DE,SE,DK,NO,NL,FR,NZ,IE,IT,BR,PL,ES,MX,PH,CH,BE,FI,PT,TR,SG,AT,AR,IS,MY,HU,CZ,CL,TW,GR,CO,HK,ID,RO,LV,IL,SK,LT,CR,JP,EE,BG,PE,IN,TH,DO,EC,PA,MT,LU,GT,HN,PY,UY,VN,BO,CY,SV,NI
20191026,Everything We Need,"Ty Dolla $ign, Ant Clemons","23,236,794",23,8,34,12,34,169,46,28,37,104,114,31,48,165,--,102,--,--,119,61,65,130,63,--,189,143,--,8,90,61,123,--,--,62,--,120,--,45,20,75,50,39,177,--,36,27,--,--,--,156,--,--,38,82,--,--,--,--,--,--,64,--,--
20150306,One Man Can Change The World,"Big Sean, John Legend","22,913,079",60,33,90,34,67,--,131,99,99,89,162,81,87,99,168,97,--,176,28,69,107,160,101,70,46,--,--,36,42,41,37,--,33,40,168,31,--,--,25,--,28,26,--,--,50,40,--,--,--,144,--,94,25,27,173,117,138,125,--,96,--,155,--
20180602,No Mistakes,,"22,460,980",23,11,24,7,27,151,90,40,59,86,140,28,32,--,--,85,--,--,--,90,51,184,51,--,187,102,--,18,193,72,71,--,139,39,--,101,--,35,28,63,30,26,--,193,33,23,--,--,--,173,--,--,57,51,--,--,--,--,--,--,52,--,--
20191026,Use This Gospel,"Clipse, Kenny G","21,499,342",25,10,44,16,39,198,81,34,51,116,153,46,54,--,--,127,--,--,182,72,71,142,76,--,92,161,--,15,138,58,133,--,--,77,--,186,--,53,21,111,51,40,--,--,40,41,--,--,--,--,--,--,42,92,--,--,--,--,--,--,87,--,--
20170319,Glow,Drake,"21,092,616",54,25,51,24,80,150,132,96,155,126,173,97,67,138,--,166,--,--,--,93,111,134,116,--,175,140,--,58,179,172,117,--,198,81,--,178,--,--,93,--,139,88,--,83,112,70,--,--,--,154,--,--,105,82,--,--,--,--,--,--,89,--,--
20200701,Wash Us In The Blood,Travis Scott,"19,984,002",57,33,65,34,26,154,180,105,67,181,194,49,50,165,--,136,--,--,--,142,139,123,123,--,153,184,--,44,149,68,138,--,120,128,--,85,--,75,43,129,95,47,--,168,60,50,--,--,--,--,--,--,143,83,--,--,--,--,192,--,69,--,--
20160405,FML,,"19,495,926",59,37,67,51,85,148,126,62,101,197,--,85,85,--,--,--,--,--,--,118,--,--,162,--,--,183,--,19,--,--,--,--,--,--,--,--,--,--,163,--,144,176,--,--,123,154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20180502,Lift Yourself,,"16,342,587",116,58,135,79,111,--,91,60,84,186,--,102,79,--,--,--,--,--,--,162,118,171,--,--,--,--,--,9,--,106,140,--,186,148,--,--,--,99,61,--,180,73,--,--,99,99,--,--,--,--,--,--,189,147,--,--,--,--,--,--,--,--,--
20141022,Black Skinhead,,"15,839,309",185,4,20,151,13,--,--,45,177,--,--,37,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,--,--,--,--,--,--,--,50,--,--,35,--,--,48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20170214,All We Got,"Chance the Rapper, Chicago Children's Choir","15,834,805",175,109,--,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20191026,God Is,,"15,694,429",34,11,52,19,49,151,115,49,71,142,172,54,69,--,--,152,--,--,152,112,106,123,85,--,90,103,--,22,141,118,87,--,--,136,--,77,--,100,32,173,91,54,--,--,59,67,--,--,--,--,--,--,57,168,--,--,--,--,--,--,142,--,--
20191026,Water,Ant Clemons,"14,896,589",35,13,51,22,48,135,122,44,69,136,188,51,66,--,--,145,--,--,167,106,105,197,84,--,96,97,--,18,140,121,82,--,--,127,--,80,--,93,31,151,87,51,--,--,55,58,--,--,--,197,--,--,62,142,--,--,--,--,--,--,147,--,--
